"YearBCE","Sites","SPD"
-4587,21,0.0963426647
-4586,21,0.0962920542
-4585,21,0.0962457674
-4584,21,0.0962037898
-4583,21,0.0961660962
-4582,21,0.0961326511
-4581,21,0.0961034083
-4580,21,0.0960785583
-4579,21,0.0960583886
-4578,21,0.0960429931
-4577,21,0.0960328929
-4576,21,0.0960283939
-4575,21,0.0960368346
-4574,21,0.0960620476
-4573,21,0.0961081707
-4572,21,0.0961796361
-4571,21,0.0962811401
-4570,21,0.0964136901
-4569,21,0.0965818015
-4568,21,0.09678981
-4567,21,0.0970423779
-4566,21,0.0973438704
-4565,21,0.0976708473
-4564,21,0.0980240066
-4563,21,0.0984039795
-4562,21,0.0988113217
-4561,21,0.0992465042
-4560,21,0.0997013676
-4559,21,0.1001757389
-4558,21,0.1006693843
-4557,21,0.1011820086
-4556,21,0.1017132552
-4555,21,0.1022568128
-4554,21,0.1028127399
-4553,21,0.1033810874
-4552,21,0.1039618982
-4551,21,0.104555207
-4550,21,0.1051598082
-4549,21,0.1057756089
-4548,21,0.1064025063
-4547,21,0.1070403875
-4546,21,0.1076891296
-4545,21,0.1083539831
-4544,21,0.1090347239
-4543,21,0.1097311013
-4542,21,0.1104428385
-4541,21,0.1111696323
-4540,21,0.1118984765
-4539,21,0.1126291042
-4538,21,0.1133616495
-4537,21,0.1140960446
-4536,21,0.114832221
-4535,21,0.1155613968
-4534,21,0.1162836482
-4533,21,0.1169986547
-4532,21,0.1177062964
-4531,21,0.1184064561
-4530,21,0.1191235615
-4529,21,0.1198565044
-4528,21,0.1206045129
-4527,21,0.1213665218
-4526,21,0.1221414189
-4525,21,0.122938352
-4524,21,0.1237496624
-4523,21,0.1245669278
-4522,21,0.125380826
-4521,21,0.1261818525
-4520,21,0.1269602262
-4519,21,0.1277082792
-4518,21,0.1284177992
-4517,21,0.1290806005
-4516,21,0.1296887769
-4515,21,0.1302643992
-4514,21,0.1308038051
-4513,21,0.131303449
-4512,21,0.1317597411
-4511,21,0.1321696557
-4510,21,0.1325516193
-4509,21,0.1329053143
-4508,21,0.133230487
-4507,21,0.1335269484
-4506,21,0.1337945737
-4505,21,0.1340601752
-4504,21,0.1343232632
-4503,21,0.1345833473
-4502,21,0.134839937
-4501,21,0.1350925421
-4500,21,0.1353363648
-4499,77,0.1355714277
-4498,77,0.135797764
-4497,77,0.1360154169
-4496,77,0.1362244402
-4495,77,0.1364208983
-4494,77,0.1366049405
-4493,77,0.1367767427
-4492,77,0.1369365071
-4491,77,0.1370844626
-4490,77,0.1371987583
-4489,77,0.1372747464
-4488,77,0.1373077066
-4487,77,0.1372932758
-4486,77,0.1372278821
-4485,77,0.1370528416
-4484,77,0.1367564146
-4483,77,0.1363310802
-4482,77,0.1357719042
-4481,77,0.1350770252
-4480,77,0.134262967
-4479,77,0.1333310695
-4478,77,0.1322830198
-4477,77,0.1311211384
-4476,77,0.1298490898
-4475,77,0.1284406447
-4474,77,0.1269055555
-4473,77,0.1252547785
-4472,77,0.1235002802
-4471,77,0.1216538236
-4470,77,0.1197597209
-4469,77,0.1178233918
-4468,77,0.1158509869
-4467,77,0.1138481474
-4466,77,0.1118210634
-4465,77,0.109792101
-4464,77,0.107764666
-4463,77,0.1057416974
-4462,77,0.1037264478
-4461,77,0.1017216861
-4460,77,0.0997227452
-4459,77,0.0977300035
-4458,77,0.0957438335
-4457,77,0.0937646018
-4456,77,0.091792669
-4455,77,0.0898156714
-4454,77,0.0878340237
-4453,77,0.0858481469
-4452,77,0.083858468
-4451,77,0.0818654199
-4450,77,0.0798929616
-4449,77,0.0779424663
-4448,77,0.0760156991
-4447,77,0.0741144725
-4446,77,0.0722401544
-4445,77,0.0703983647
-4444,77,0.0685914247
-4443,77,0.0668221132
-4442,77,0.0650923824
-4441,77,0.0634045516
-4440,77,0.0617640402
-4439,77,0.0601759986
-4438,77,0.0586452456
-4437,77,0.0571764416
-4436,77,0.0557734525
-4435,77,0.0544824512
-4434,77,0.0533150719
-4433,77,0.0522791265
-4432,77,0.051379639
-4431,77,0.0506185576
-4430,77,0.0499243503
-4429,77,0.04929753
-4428,77,0.0487381216
-4427,77,0.0482453814
-4426,77,0.0478174802
-4425,77,0.0474731799
-4424,77,0.0472069446
-4423,77,0.0470126798
-4422,77,0.0468836729
